player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,minutes_factor,game,home_team,away_team,news_status,news_adjustment,news_flags,news_notes,news_sources
Ayo Dosunmu,threes,1.5,1.6,9.7,9.1,49.0,OVER,2.0,1.9,60.0,40.0,HOT,20,betonlineag,122,122,-157,45.0,42.4,54.1,Home: 0.94x | Rested: 1.03x | Mins: 1.14x | News: 0.77x (-23%) | ⚠️ GTD (likely OUT) | ⏱️ MINS LIMIT,False,1.14,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,GTD_LEANING_OUT,-22.6%,⚠️ GTD (likely OUT) | ⏱️ MINS LIMIT,"Game-time decision, leaning towards sitting; Minutes restriction reported",https://www.bleachernation.com/bulls/2025/12/16/bulls-ayo-thumb-injuries/ | https://www.rotowire.com/basketball/headlines/ayo-dosunmu-injury-confirmed-out-sunday-508468 | https://www.cbssports.com/nba/players/3042559/ayo-dosunmu/
Keldon Johnson,threes,0.5,0.8,58.1,9.1,42.0,OVER,1.0,0.9,56.0,44.0,HOT,25,betonlineag,-123,-123,100,55.2,52.5,64.2,Rested: 1.03x | Mins: 0.87x | News: 0.85x (-15%) | ⚠️ GTD | 🔄 RETURNING,False,0.87,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,GTD_UNCERTAIN,-15.4%,⚠️ GTD | 🔄 RETURNING,"Game-time decision, status uncertain; Returning from injury - rust factor applied",https://www.foxsports.com/nba/keldon-johnson-player-injuries | https://www.rotowire.com/basketball/player/keldon-johnson-4782 | https://www.foxsports.com/nba/keldon-johnson-player
Devin Vassell,assists,2.5,3.1,22.7,8.9,56.0,OVER,3.2,2.6,48.0,52.0,HOT,25,betrivers,143,143,-190,41.2,38.6,50.1,Home: 1.07x | Rested: 1.03x,False,0.94,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,NO_NEWS,,,,
Jaylon Tyson,pra,20.5,24.4,19.0,8.7,60.0,OVER,26.4,20.8,59.0,41.0,HOT,22,fanduel,-102,-102,-122,50.5,47.9,59.2,Home: 1.08x | Mins: 1.15x | News: 0.81x (-19%) | ⚠️ GTD | ⏱️ MINS LIMIT,False,1.18,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,GTD_UNCERTAIN,-19.0%,⚠️ GTD | ⏱️ MINS LIMIT,"Game-time decision, status uncertain; Minutes restriction reported",https://www.cbssports.com/nba/players/26777669/jaylon-tyson/ | https://ak-static.cms.nba.com/referee/injury/Injury-Report_2025-11-15_09AM.pdf | https://www.salaryswish.com/injury/players/jaylon-tyson
Karl-Anthony Towns,rebounds,9.5,11.1,17.1,8.6,78.0,OVER,11.6,11.9,79.0,21.0,NEUTRAL,24,bovada,-210,-210,155,67.7,63.3,76.4,Rested: 1.03x | News: 0.95x (-5%) | ⚠️ GTD (likely playing),False,0.98,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,GTD_LEANING_PLAY,-5.0%,⚠️ GTD (likely playing),"Game-time decision, expected to play",https://heavy.com/sports/nba/new-york-knicks/karl-anthony-towns-injury-update-nba-cup/ | https://www.si.com/nba/knicks/onsi/news/new-yorkknicks-release-disappointing-karl-anthony-towns-injury-status | https://sicscore.com/nba/players/karl-anthony-towns
Harrison Barnes,threes,1.5,2.5,66.5,8.6,50.0,OVER,2.0,2.4,56.0,44.0,COLD,25,fanduel,-142,-142,140,58.7,58.5,67.2,Home: 1.35x | Rested: 1.03x | News: 0.85x (-15%) | ⚠️ GTD | 🔄 RETURNING,False,1.01,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,GTD_UNCERTAIN,-15.4%,⚠️ GTD | 🔄 RETURNING,"Game-time decision, status uncertain; Returning from injury - rust factor applied",https://www.foxsports.com/nba/harrison-barnes-player-injuries | https://buzztulsa.iheart.com/content/2025-12-13-thunder-vs-spurs-injury-report-dec-13/ | https://www.rotowire.com/basketball/headlines/harrison-barnes-news-struggles-in-win-saturday-508414
Naz Reid,threes,2.5,3.6,45.6,8.4,54.0,OVER,3.6,2.4,46.0,54.0,HOT,26,fanduel,116,116,-154,46.3,43.3,54.7,Home: 1.11x | Mins: 1.15x | News: 0.92x (-8%) | ⚠️ GTD,False,1.18,Memphis Grizzlies @ Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,GTD_UNCERTAIN,-8.0%,⚠️ GTD,"Game-time decision, status uncertain",https://www.foxsports.com/nba/naz-reid-player-injuries | https://www.cbssports.com/nba/players/3148879/naz-reid/ | https://www.rotowire.com/basketball/player/naz-reid-4806
Karl-Anthony Towns,points,17.5,24.1,37.6,8.4,73.0,OVER,25.0,22.4,75.0,25.0,HOT,24,bovada,-280,-280,205,73.7,69.2,82.1,Rested: 1.03x | News: 0.95x (-5%) | ⚠️ GTD (likely playing),False,0.98,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,GTD_LEANING_PLAY,-5.0%,⚠️ GTD (likely playing),"Game-time decision, expected to play",https://heavy.com/sports/nba/new-york-knicks/karl-anthony-towns-injury-update-nba-cup/ | https://www.si.com/nba/knicks/onsi/news/new-yorkknicks-release-disappointing-karl-anthony-towns-injury-status | https://sicscore.com/nba/players/karl-anthony-towns
Jaren Jackson Jr,threes,1.5,0.9,-43.3,7.7,47.0,UNDER,0.8,1.6,50.0,50.0,COLD,24,betonlineag,-108,-115,-108,51.9,49.3,59.6,Home: 0.74x | B2B: 0.93x,True,0.96,Memphis Grizzlies @ Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,NO_NEWS,,,,
Mikal Bridges,rebounds,3.5,3.8,8.2,7.3,66.0,OVER,4.6,4.6,72.0,28.0,NEUTRAL,25,bovada,-150,-150,128,60.0,57.8,67.3,Home: 0.88x | Rested: 1.03x | News: 0.92x (-8%) | ⚠️ GTD,False,0.97,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,GTD_UNCERTAIN,-8.0%,⚠️ GTD,"Game-time decision, status uncertain",https://timesofindia.indiatimes.com/sports/nba/top-stories/new-york-knicks-nba-cup-final-game-injury-report-whos-playing-whos-out-and-more-december-16-2025/articleshow/126017371.cms | https://www.cbssports.com/nba/players/2153056/mikal-bridges/ | https://953wdae.iheart.com/content/2025-12-13-knicks-vs-magic-injury-report-dec-13/
Jalen Brunson,threes,3.5,2.6,-26.4,7.3,60.0,UNDER,3.2,2.8,30.0,70.0,HOT,23,bovada,-200,150,-200,66.7,62.5,74.0,Rested: 1.03x | News: 0.87x (-13%) | ⚠️ GTD (likely playing) | 🔄 RETURNING,False,1.05,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,GTD_LEANING_PLAY,-12.6%,⚠️ GTD (likely playing) | 🔄 RETURNING,"Game-time decision, expected to play; Returning from injury - rust factor applied",https://www.cbssports.com/nba/players/2203517/jalen-brunson/ | https://timesofindia.indiatimes.com/sports/nba/top-stories/new-york-knicks-nba-cup-final-game-injury-report-whos-playing-whos-out-and-more-december-16-2025/articleshow/126017371.cms | https://www.foxsports.com/nba/jalen-brunson-player
Naz Reid,points,14.5,19.1,31.5,6.8,68.0,OVER,16.4,13.9,54.0,46.0,HOT,26,fanduel,-125,-125,-106,55.6,51.9,62.3,Home: 1.08x | Mins: 1.15x,False,1.18,Memphis Grizzlies @ Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,NO_NEWS,,,,
Matas Buzelis,points,12.5,14.6,16.9,6.5,71.0,OVER,13.6,13.6,60.0,40.0,NEUTRAL,25,fanduel,-118,-118,-107,54.1,51.2,60.6,Home: 1.10x,False,1.0,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,NO_NEWS,,,,
Rudy Gobert,rebounds,10.5,8.0,-23.4,5.4,72.0,UNDER,10.6,10.3,50.0,50.0,NEUTRAL,26,draftkings,-103,-120,-103,50.7,48.2,56.1,Home: 0.89x | Mins: 0.86x,False,0.86,Memphis Grizzlies @ Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,NO_NEWS,,,,
Naz Reid,rebounds,6.5,10.5,62.1,5.3,62.0,OVER,8.0,6.1,38.0,62.0,HOT,26,fanduel,122,122,-162,45.0,42.1,50.3,Home: 1.30x | Mins: 1.15x,False,1.18,Memphis Grizzlies @ Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,NO_NEWS,,,,
Mikal Bridges,threes,2.5,1.3,-48.3,4.4,51.0,UNDER,1.0,2.2,40.0,60.0,COLD,25,bovada,-215,175,-215,68.3,65.2,72.6,Home: 0.84x | Rested: 1.03x | News: 0.92x (-8%) | ⚠️ GTD,False,0.97,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,GTD_UNCERTAIN,-8.0%,⚠️ GTD,"Game-time decision, status uncertain",https://timesofindia.indiatimes.com/sports/nba/top-stories/new-york-knicks-nba-cup-final-game-injury-report-whos-playing-whos-out-and-more-december-16-2025/articleshow/126017371.cms | https://www.cbssports.com/nba/players/2153056/mikal-bridges/ | https://953wdae.iheart.com/content/2025-12-13-knicks-vs-magic-injury-report-dec-13/
Jaylen Wells,points,14.5,13.8,-4.7,3.6,64.0,UNDER,17.6,12.6,38.0,62.0,HOT,26,betonlineag,-117,-110,-117,53.9,50.7,57.5,B2B: 0.93x | News: 0.92x (-8%) | ⚠️ GTD,True,1.07,Memphis Grizzlies @ Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,GTD_UNCERTAIN,-8.0%,⚠️ GTD,"Game-time decision, status uncertain",https://www.yardbarker.com/nba/players/jaylen_wells/911967 | https://www.aol.com/grizzlies-rookie-jaylen-wells-officially-202157437.html | https://unabated.com/nba/players/jaylen-wells-439700
Karl-Anthony Towns,threes,1.5,2.5,68.1,3.6,50.0,OVER,2.4,1.9,50.0,50.0,HOT,24,betrivers,-159,-159,145,61.4,60.1,65.0,Home: 1.23x | Rested: 1.03x | News: 0.95x (-5%) | ⚠️ GTD (likely playing),False,0.98,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,GTD_LEANING_PLAY,-5.0%,⚠️ GTD (likely playing),"Game-time decision, expected to play",https://heavy.com/sports/nba/new-york-knicks/karl-anthony-towns-injury-update-nba-cup/ | https://www.si.com/nba/knicks/onsi/news/new-yorkknicks-release-disappointing-karl-anthony-towns-injury-status | https://sicscore.com/nba/players/karl-anthony-towns
Jarrett Allen,points,13.5,10.3,-23.6,3.3,54.0,UNDER,10.6,14.0,50.0,50.0,COLD,16,betonlineag,-121,-102,-121,54.8,52.0,58.1,Home: 0.84x,False,1.0,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,NO_NEWS,,,,
Anthony Edwards,threes,3.5,2.6,-26.4,3.1,54.0,UNDER,3.0,3.4,50.0,50.0,COLD,20,draftkings,-136,118,-136,57.6,55.7,60.8,Home: 0.69x | Rested: 1.03x | Mins: 1.10x,False,1.1,Memphis Grizzlies @ Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,NO_NEWS,,,,
Nikola Vucevic,pra,25.5,24.9,-2.3,-3.2,69.0,UNDER,20.6,28.1,54.0,46.0,COLD,24,betonlineag,-104,-120,-104,51.0,48.3,47.8,None,False,0.9,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,NO_NEWS,,,,
Donovan Mitchell,points,30.5,30.2,-0.9,-3.6,73.0,UNDER,31.0,30.7,52.0,48.0,NEUTRAL,25,betonlineag,-113,-109,-113,53.1,50.4,49.5,None,False,1.02,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,NO_NEWS,,,,
Anthony Edwards,rebounds,5.5,5.5,0.3,-3.7,58.0,OVER,5.8,4.9,40.0,60.0,HOT,20,betonlineag,122,122,-154,45.0,42.6,41.4,Home: 0.90x | Rested: 1.03x | Mins: 1.10x,False,1.1,Memphis Grizzlies @ Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,NO_NEWS,,,,
Josh Giddey,points,19.5,19.2,-1.6,-4.0,70.0,UNDER,18.4,20.1,52.0,48.0,COLD,23,betonlineag,-117,-108,-117,53.9,50.9,49.9,None,False,0.96,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,NO_NEWS,,,,
Stephon Castle,pra,30.5,25.2,-17.4,-4.2,62.0,UNDER,28.2,31.4,56.0,44.0,COLD,16,bovada,-148,120,-148,59.7,56.8,55.5,Home: 0.93x | Rested: 1.03x | Mins: 0.87x,False,0.87,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,NO_NEWS,,,,
Josh Hart,points,15.5,17.2,11.1,-4.2,59.0,OVER,14.6,12.4,33.0,67.0,HOT,24,bovada,120,120,-160,45.5,42.5,41.2,Rested: 1.03x | Mins: 1.12x,False,1.12,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,NO_NEWS,,,,
Tre Jones,rebounds,2.5,2.5,-0.3,-4.3,53.0,UNDER,1.4,3.1,42.0,58.0,COLD,19,fanduel,-178,148,-178,64.0,61.4,59.7,Home: 1.15x,False,0.96,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,NO_NEWS,,,,
Jaylen Wells,rebounds,3.5,3.6,3.2,-5.5,58.0,OVER,3.8,3.6,46.0,54.0,HOT,26,betonlineag,-128,-128,102,56.1,53.1,50.6,Home: 1.10x | B2B: 0.93x | News: 0.92x (-8%) | ⚠️ GTD,True,1.07,Memphis Grizzlies @ Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,GTD_UNCERTAIN,-8.0%,⚠️ GTD,"Game-time decision, status uncertain",https://www.yardbarker.com/nba/players/jaylen_wells/911967 | https://www.aol.com/grizzlies-rookie-jaylen-wells-officially-202157437.html | https://unabated.com/nba/players/jaylen-wells-439700
Kevin Huerter,rebounds,2.5,2.1,-17.2,-6.0,49.0,UNDER,1.6,3.2,60.0,40.0,COLD,20,betonlineag,-146,117,-146,59.3,56.3,53.3,Mins: 0.88x,False,0.88,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,NO_NEWS,,,,
