player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,rest_days,minutes_factor,minutes_trend,game,home_team,away_team,opponent,opp_defense_rank,matchup_label,team_pace_rank,opp_pace_rank,news_status,news_adjustment,news_flags,news_notes,news_sources
Bennedict Mathurin,assists,2.5,1.7,-30.7,8.7,55.0,UNDER,2.2,2.3,33.0,67.0,NEUTRAL,15,fanduel,-174,130,-174,63.5,59.4,72.2,Home: 0.88x | Rested: 1.03x | News: 0.85x (-15%) | ⚠️ GTD | 🔄 RETURNING,False,4,1.0,STABLE,New York Knicks @ Indiana Pacers,Indiana Pacers,New York Knicks,NYK,21,HARD,9,26,GTD_UNCERTAIN,-15.4%,⚠️ GTD | 🔄 RETURNING,"Game-time decision, status uncertain; Returning from injury - rust factor applied",https://www.cbssports.com/nba/players/3178537/bennedict-mathurin/ | https://timesofindia.indiatimes.com/sports/nba/top-stories/new-york-knicks-vs-indiana-pacers-regular-season-game-full-injury-report-whos-out-and-more-december-18-2025/articleshow/126054055.cms | https://www.indycornrows.com/p/pacers-went-back-to-work-after-disappointing
Andrew Nembhard,rebounds,3.5,2.6,-25.3,8.7,53.0,UNDER,3.2,2.3,28.0,72.0,HOT,18,fanduel,-192,142,-192,65.8,61.4,74.4,Home: 1.07x | Rested: 1.03x | News: 0.85x (-15%) | ⚠️ GTD | 🔄 RETURNING,False,4,1.02,STABLE,New York Knicks @ Indiana Pacers,Indiana Pacers,New York Knicks,NYK,21,HARD,9,26,GTD_UNCERTAIN,-15.4%,⚠️ GTD | 🔄 RETURNING,"Game-time decision, status uncertain; Returning from injury - rust factor applied",https://www.foxsports.com/nba/andrew-nembhard-player-injuries | https://www.rotowire.com/basketball/player/andrew-nembhard-5679 | https://www.cbssports.com/nba/players/3041935/andrew-nembhard/
Simone Fontecchio,points,10.5,8.4,-20.3,8.5,68.0,UNDER,7.2,9.6,40.0,60.0,COLD,25,fanduel,-108,-122,-108,51.9,48.6,60.4,Home: 1.06x | Rested: 1.03x,False,3,1.02,STABLE,Miami Heat @ Brooklyn Nets,Brooklyn Nets,Miami Heat,BKN,11,NEUTRAL,1,28,NO_NEWS,,,No recent news (filtered outdated articles),https://sportsforecaster.com/nba/p/63923/Simone_Fontecchio/transactions | https://www.cbssports.com/nba/players/2211139/simone-fontecchio/ | https://www.rotowire.com/basketball/player/simone-fontecchio-5797
Michael Porter Jr,threes,3.5,4.4,24.8,8.1,64.0,OVER,5.0,3.6,57.0,43.0,HOT,21,fanduel,-110,-110,-120,52.4,49.0,60.5,Rested: 1.03x,False,4,1.0,STABLE,Miami Heat @ Brooklyn Nets,Brooklyn Nets,Miami Heat,MIA,13,NEUTRAL,28,1,NO_NEWS,,,No recent news (filtered outdated articles),https://www.salaryswish.com/injury/players/michael-porterjr | https://www.foxsports.com/nba/michael-porter-jr-player-injuries | https://1070thezone.iheart.com/content/2025-12-18-heat-vs-nets-injury-report-dec-18/
Chet Holmgren,points,16.5,18.6,12.5,7.9,71.0,OVER,20.4,18.7,64.0,36.0,HOT,22,fanduel,-108,-108,-122,51.9,48.6,59.9,Rested: 1.03x,False,5,0.91,DOWN,Los Angeles Clippers @ Oklahoma City Thunder,Oklahoma City Thunder,Los Angeles Clippers,LAC,14,NEUTRAL,10,29,NO_NEWS,,,,
Luguentz Dort,points,7.5,6.1,-18.4,7.9,54.0,UNDER,7.4,7.9,35.0,65.0,COLD,17,fanduel,-128,-104,-128,56.1,52.4,64.1,Rested: 1.03x | News: 0.74x (-26%) | ⚠️ GTD | ⏱️ MINS LIMIT | 🔄 RETURNING,False,5,0.94,DOWN,Los Angeles Clippers @ Oklahoma City Thunder,Oklahoma City Thunder,Los Angeles Clippers,LAC,14,NEUTRAL,10,29,GTD_UNCERTAIN,-25.5%,⚠️ GTD | ⏱️ MINS LIMIT | 🔄 RETURNING,"Game-time decision, status uncertain; Minutes restriction reported",https://www.cbssports.com/nba/players/3041476/luguentz-dort/ | https://www.foxsports.com/nba/luguentz-dort-player-injuries | https://www.salaryswish.com/injury/players/luguentz-dort
Jabari Smith Jr,threes,2.5,1.9,-22.1,7.8,61.0,UNDER,1.8,2.1,32.0,68.0,COLD,22,fanduel,-162,122,-162,61.8,57.9,69.6,Rested: 1.03x,False,3,1.08,UP,Houston Rockets @ New Orleans Pelicans,New Orleans Pelicans,Houston Rockets,NOP,2,SMASH,27,6,NO_NEWS,,,No recent news (filtered outdated articles),https://www.cbssports.com/nba/players/26776259/jabari-smith/ | https://timesofindia.indiatimes.com/sports/nba/top-stories/houston-rockets-vs-new-orleans-pelicans-regular-season-game-full-injury-report-whos-out-and-more-december-18-2025/articleshow/126059627.cms | https://www.foxsports.com/nba/jabari-smith-2-player-injuries
Jarace Walker,rebounds,3.5,3.8,8.8,7.5,70.0,OVER,3.4,4.9,65.0,35.0,COLD,26,fanduel,-110,-110,-120,52.4,49.0,59.8,Rested: 1.03x | Mins: 0.85x,False,4,0.7,DOWN,New York Knicks @ Indiana Pacers,Indiana Pacers,New York Knicks,NYK,21,HARD,9,26,NO_NEWS,,,No recent news (filtered outdated articles),https://www.espn.com/nba/story/_/id/45414553/pacers-jarace-walker-hurts-ankle-status-nba-finals-iffy | https://www.cbssports.com/nba/players/28954646/jarace-walker/ | https://www.rotowire.com/basketball/headlines/jarace-walker-news-inefficient-12-points-off-bench-508608
Egor Demin,threes,1.5,2.0,34.8,7.3,53.0,OVER,1.6,1.8,48.0,52.0,COLD,23,fanduel,100,100,-132,50.0,46.8,57.3,Home: 1.14x | Rested: 1.03x,False,4,1.0,STABLE,Miami Heat @ Brooklyn Nets,Brooklyn Nets,Miami Heat,MIA,13,NEUTRAL,28,1,NO_NEWS,,,No recent news (filtered outdated articles),https://www.foxsports.com/nba/egor-demin-player | https://www.nbcsports.com/nba/egor-demin/250133/news | https://www.cbssports.com/fantasy/basketball/news/nets-egor-demin-barely-visible-in-loss/
OG Anunoby,points,16.5,11.9,-28.1,7.3,53.0,UNDER,14.2,16.2,44.0,56.0,COLD,16,fanduel,-122,-108,-122,55.0,51.4,62.3,Rested: 1.03x | Mins: 0.85x | News: 0.92x (-8%) | ⚠️ GTD,False,5,0.84,DOWN,New York Knicks @ Indiana Pacers,Indiana Pacers,New York Knicks,IND,6,GOOD,26,9,GTD_UNCERTAIN,-8.0%,⚠️ GTD,"Game-time decision, status uncertain",https://www.cbssports.com/nba/players/2844732/og-anunoby/ | https://8points9seconds.com/pacers-knicks-injury-report-dec-18-karl-anthony-towns-og-anunoby-more | https://www.rotowire.com/basketball/headlines/og-anunoby-injury-iffy-for-thursday-508828
Ivica Zubac,pra,26.5,27.7,4.4,7.1,80.0,OVER,29.0,30.2,69.0,31.0,NEUTRAL,26,fanduel,-118,-118,-112,54.1,50.6,61.2,Home: 0.89x | Rested: 1.03x,False,3,1.06,UP,Los Angeles Clippers @ Oklahoma City Thunder,Oklahoma City Thunder,Los Angeles Clippers,OKC,30,TOUGH,29,10,NO_NEWS,,,No recent news (filtered outdated articles),https://www.foxsports.com/nba/ivica-zubac-player-injuries | https://sportssd.iheart.com/content/2025-12-18-thunder-vs-clippers-injury-report-dec-18/ | https://foxsportsradio1350.iheart.com/content/2025-12-18-thunder-vs-clippers-injury-report-dec-18/
Bogdan Bogdanovic,points,10.5,7.6,-27.2,7.0,49.0,UNDER,8.2,9.1,42.0,58.0,COLD,12,fanduel,-132,100,-132,56.9,53.2,63.9,Home: 0.80x | Rested: 1.03x,False,3,0.92,DOWN,Los Angeles Clippers @ Oklahoma City Thunder,Oklahoma City Thunder,Los Angeles Clippers,OKC,30,TOUGH,29,10,NO_NEWS,,,,
Kevin Durant,threes,1.5,1.9,30.0,6.7,61.0,OVER,1.8,1.8,62.0,38.0,NEUTRAL,21,fanduel,-166,-166,124,62.4,58.3,69.1,Home: 1.05x | Rested: 1.03x,False,3,0.98,STABLE,Houston Rockets @ New Orleans Pelicans,New Orleans Pelicans,Houston Rockets,NOP,2,SMASH,27,6,NO_NEWS,,,No recent news (filtered outdated articles),https://www.foxsports.com/nba/kevin-durant-player-injuries | https://sportstalk790.iheart.com/content/2025-12-18-rockets-vs-pelicans-injury-report-dec-18/ | https://en.as.com/nba/durant-makes-shocking-sliding-doors-claim-about-2019-achilles-tear-f202512-n/
Ziaire Williams,threes,1.5,2.0,36.0,6.7,50.0,OVER,1.8,1.7,50.0,50.0,HOT,22,fanduel,-114,-114,-114,53.3,50.0,60.0,Home: 1.19x | Rested: 1.03x,False,4,1.0,STABLE,Miami Heat @ Brooklyn Nets,Brooklyn Nets,Miami Heat,MIA,13,NEUTRAL,28,1,NO_NEWS,,,,
Andrew Wiggins,pra,24.5,19.2,-21.6,6.5,66.0,UNDER,19.8,24.2,43.0,57.0,COLD,23,fanduel,-114,-114,-114,53.3,50.0,59.7,Rested: 1.03x | News: 0.85x (-15%) | ⚠️ GTD | 🔄 RETURNING,False,3,0.98,STABLE,Miami Heat @ Brooklyn Nets,Brooklyn Nets,Miami Heat,BKN,11,NEUTRAL,1,28,GTD_UNCERTAIN,-15.4%,⚠️ GTD | 🔄 RETURNING,"Game-time decision, status uncertain; Returning from injury - rust factor applied",https://www.cbssports.com/nba/players/2135571/andrew-wiggins/ | https://sicscore.com/nba/players/andrew-wiggins | https://foxsports940.iheart.com/content/2025-12-18-heat-vs-nets-injury-report-dec-18/
Derik Queen,assists,4.5,7.9,75.6,6.4,51.0,OVER,6.4,4.0,44.0,56.0,HOT,27,fanduel,106,106,-140,48.5,45.4,54.9,Home: 1.22x | Rested: 1.03x | Mins: 1.15x,False,4,1.17,UP,Houston Rockets @ New Orleans Pelicans,New Orleans Pelicans,Houston Rockets,HOU,21,HARD,6,27,NO_NEWS,,,No recent news (filtered outdated articles),https://sportstalk790.iheart.com/content/2025-12-18-rockets-vs-pelicans-injury-report-dec-18/ | https://www.testudotimes.com/2025/7/18/24470125/derik-queen-undergoes-left-wrist-surgery-to-be-re-evaluated-in-approximately-12-weeks | https://www.youtube.com/watch?v=ULYv-BhaCxI&vl=en
Onyeka Okongwu,pra,28.5,27.1,-4.8,6.2,79.0,UNDER,27.4,26.7,35.0,65.0,NEUTRAL,26,fanduel,-110,-120,-110,52.4,49.0,58.6,Rested: 1.03x,False,4,1.05,STABLE,Atlanta Hawks @ Charlotte Hornets,Charlotte Hornets,Atlanta Hawks,CHA,11,NEUTRAL,7,22,NO_NEWS,,,,
Danny Wolf,pra,17.5,15.5,-11.3,6.2,44.0,UNDER,19.2,14.6,36.0,64.0,HOT,11,fanduel,-120,-110,-120,54.5,51.0,60.7,Home: 0.78x | Rested: 1.03x | Mins: 1.15x,False,4,1.4,UP,Miami Heat @ Brooklyn Nets,Brooklyn Nets,Miami Heat,MIA,13,NEUTRAL,28,1,NO_NEWS,,,No recent news (filtered outdated articles),https://www.cbssports.com/nba/players/28955798/danny-wolf/ | https://www.foxsports.com/nba/danny-wolf-player | https://www.fantasyalarm.com/player-news/3712934/danny-wolf-ankle-downgraded-to-out-wednesday/
Pascal Siakam,rebounds,6.5,6.0,-6.9,6.2,70.0,UNDER,5.4,6.8,40.0,60.0,COLD,25,fanduel,106,-140,106,48.5,45.4,54.8,Rested: 1.03x,False,4,0.96,STABLE,New York Knicks @ Indiana Pacers,Indiana Pacers,New York Knicks,NYK,21,HARD,9,26,NO_NEWS,,,,
Kris Dunn,points,7.5,9.3,24.5,6.1,58.0,OVER,8.4,8.1,54.0,46.0,NEUTRAL,26,fanduel,-112,-112,-118,52.8,49.4,59.0,Home: 1.11x | Rested: 1.03x | News: 0.92x (-8%) | ⚠️ GTD,False,3,0.99,STABLE,Los Angeles Clippers @ Oklahoma City Thunder,Oklahoma City Thunder,Los Angeles Clippers,OKC,30,TOUGH,29,10,GTD_UNCERTAIN,-8.0%,⚠️ GTD,"Game-time decision, status uncertain",https://www.foxsports.com/nba/kris-dunn-player-injuries | https://www.cbssports.com/nba/players/2019315/kris-dunn/ | https://www.rotowire.com/basketball/headlines/kris-dunn-news-posts-17-points-in-defeat-508687
Kawhi Leonard,pra,32.5,38.9,19.8,5.8,66.0,OVER,31.6,33.7,56.0,44.0,COLD,16,fanduel,-114,-114,-114,53.3,50.0,59.1,Home: 1.15x | Rested: 1.03x,False,3,1.1,UP,Los Angeles Clippers @ Oklahoma City Thunder,Oklahoma City Thunder,Los Angeles Clippers,OKC,30,TOUGH,29,10,NO_NEWS,,,,
Isaiah Jackson,rebounds,5.5,7.4,33.8,5.5,64.0,OVER,7.4,6.0,54.0,46.0,HOT,26,fanduel,-144,-144,108,59.0,55.1,64.5,Home: 1.10x | Rested: 1.03x,False,4,0.92,DOWN,New York Knicks @ Indiana Pacers,Indiana Pacers,New York Knicks,NYK,21,HARD,9,26,NO_NEWS,,,No recent news (filtered outdated articles),https://ak-static.cms.nba.com/referee/injury/Injury-Report_2025-12-17_08PM.pdf | https://www.cbssports.com/nba/players/3177551/isaiah-jackson/ | https://ak-static.cms.nba.com/referee/injury/Injury-Report_2025-12-17_06PM.pdf
Jalen Johnson,threes,1.5,1.7,12.9,5.3,49.0,OVER,1.6,1.5,50.0,50.0,NEUTRAL,24,fanduel,126,126,-168,44.2,41.4,49.6,Rested: 1.03x,False,4,1.05,STABLE,Atlanta Hawks @ Charlotte Hornets,Charlotte Hornets,Atlanta Hawks,CHA,11,NEUTRAL,7,22,NO_NEWS,,,No recent news (filtered outdated articles),https://www.cbssports.com/nba/players/3178366/jalen-johnson/ | https://www.rotowire.com/basketball/player/jalen-johnson-5329 | https://sports.iheart.com/content/2025-12-18-hawks-vs-hornets-injury-report-dec-18/
Jabari Smith Jr,rebounds,6.5,7.8,19.5,5.2,67.0,OVER,7.6,6.7,55.0,45.0,HOT,22,fanduel,-110,-110,-120,52.4,49.0,57.6,Home: 1.06x | Rested: 1.03x,False,3,1.08,UP,Houston Rockets @ New Orleans Pelicans,New Orleans Pelicans,Houston Rockets,NOP,2,SMASH,27,6,NO_NEWS,,,No recent news (filtered outdated articles),https://www.cbssports.com/nba/players/26776259/jabari-smith/ | https://timesofindia.indiatimes.com/sports/nba/top-stories/houston-rockets-vs-new-orleans-pelicans-regular-season-game-full-injury-report-whos-out-and-more-december-18-2025/articleshow/126059627.cms | https://www.foxsports.com/nba/jabari-smith-2-player-injuries
Steven Adams,points,5.5,5.2,-5.4,5.1,56.0,UNDER,7.0,6.3,37.0,63.0,HOT,19,fanduel,-112,-118,-112,52.8,49.4,57.9,Home: 0.89x | Rested: 1.03x | News: 0.87x (-13%) | ⚠️ GTD (likely playing) | 🔄 RETURNING,False,3,0.93,DOWN,Houston Rockets @ New Orleans Pelicans,New Orleans Pelicans,Houston Rockets,NOP,2,SMASH,27,6,GTD_LEANING_PLAY,-12.6%,⚠️ GTD (likely playing) | 🔄 RETURNING,"Game-time decision, expected to play; Returning from injury - rust factor applied",https://www.cbssports.com/nba/players/2067654/steven-adams/ | https://www.rotowire.com/basketball/headlines/steven-adams-news-removed-from-injury-report-507965 | https://www.salaryswish.com/injury/players/steven-adams
Shai Gilgeous-Alexander,pra,41.5,43.7,5.3,4.2,81.0,OVER,40.0,43.5,60.0,40.0,COLD,25,fanduel,-106,-106,-125,51.5,48.1,55.6,Rested: 1.03x,False,5,0.99,STABLE,Los Angeles Clippers @ Oklahoma City Thunder,Oklahoma City Thunder,Los Angeles Clippers,LAC,14,NEUTRAL,10,29,NO_NEWS,,,,
John Collins,points,11.5,13.5,17.5,3.9,70.0,OVER,12.4,12.0,50.0,50.0,NEUTRAL,26,fanduel,102,102,-136,49.5,46.2,53.4,Home: 1.06x | Rested: 1.03x,False,3,1.02,STABLE,Los Angeles Clippers @ Oklahoma City Thunder,Oklahoma City Thunder,Los Angeles Clippers,OKC,30,TOUGH,29,10,NO_NEWS,,,No recent news (filtered outdated articles),https://www.salaryswish.com/injury/players/john-collins | https://www.nbcsports.com/nba/john-collins/10611/news | https://www.foxsports.com/nba/john-collins-player-injuries
